optimizer_step,_step,_step__MIN,_step__MAX,global_grad_norm,global_grad_norm__MIN,global_grad_norm__MAX,,,,,,
338,675,675,675,0.769859969615936,0.769859969615936,0.769859969615936,,,,,,
339,677,677,677,0.656884789466858,0.656884789466858,0.656884789466858,,,,,,
340,679,679,679,0.653295576572418,0.653295576572418,0.653295576572418,,,,,,
341,681,681,681,0.731663465499878,0.731663465499878,0.731663465499878,,,,,,
342,683,683,683,0.853726029396057,0.853726029396057,0.853726029396057,,,,,,
343,685,685,685,0.851970672607422,0.851970672607422,0.851970672607422,,,,,,
344,687,687,687,1.17109870910645,1.17109870910645,1.17109870910645,,,,,,
345,689,689,689,0.87821900844574,0.87821900844574,0.87821900844574,,,,,,
346,691,691,691,0.902045071125031,0.902045071125031,0.902045071125031,,,,,,
347,693,693,693,0.993516981601715,0.993516981601715,0.993516981601715,,,,,,
348,695,695,695,0.924173355102539,0.924173355102539,0.924173355102539,,,,,,
349,697,697,697,0.710654556751251,0.710654556751251,0.710654556751251,,,,,,
350,699,699,699,1.02528893947601,1.02528893947601,1.02528893947601,,,,,,
351,701,701,701,0.825084447860718,0.825084447860718,0.825084447860718,,,,,,
352,703,703,703,0.865849614143372,0.865849614143372,0.865849614143372,,,,,,
353,705,705,705,0.772355854511261,0.772355854511261,0.772355854511261,,,,,,
354,707,707,707,0.730860471725464,0.730860471725464,0.730860471725464,,,,,,
355,709,709,709,0.671725749969482,0.671725749969482,0.671725749969482,,,,,,
356,711,711,711,0.807715356349945,0.807715356349945,0.807715356349945,,,,,,
